Id,Label,Contribution,Weight,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,Degree
0,Willi A. Herrmann,Bauten,23,222,6,0.427035,0.473349,43540.630543,0.479496,112
1,Wolfgang Neff,Regie,23,157,6,0.382353,0.416791,4540.298424,0.246132,56
2,Jane Bess,Drehbuch,22,157,6,0.382353,0.416791,4540.298424,0.246132,56
3,Wilhelm Diegelmann,Darsteller,21,223,5,0.446776,0.501327,52738.922154,1,164
4,Erich Kaiser-Titz,Darsteller,21,204,6,0.42828,0.47563,22718.078644,0.759334,121
6,Charles Willy Kayser,Darsteller/Regie,20,152,6,0.432568,0.477717,39801.474319,0.565821,112
7,Robert Scholz,Darsteller,18,147,5,0.426539,0.467688,25589.91134,0.604983,97
8,Fritz Lederer,Bauten,17,151,6,0.408396,0.445893,5985.782901,0.494226,65
9,Willy Goldberger,Kamera,17,147,6,0.409192,0.448582,11445.175014,0.498479,74
10,Hans Adalbert Schlettow,Darsteller,16,137,6,0.415441,0.459337,24350.990219,0.485899,97
11,Franz Seitz Sr.,Regie/Drehbuch/Darsteller,16,71,7,0.331678,0.355033,9102.456736,0.056175,25
12,Albert Patry,Darsteller,15,130,6,0.403793,0.442671,9711.184866,0.434187,71
13,Kurt Richter,Bauten,15,163,6,0.39951,0.439494,12395.628735,0.439088,78
14,Franz Schroedter,Bauten,15,134,6,0.398427,0.439369,11026.094169,0.360557,76
15,Robert Liebmann,Drehbuch,15,146,6,0.38516,0.420819,4566.515354,0.313747,54
16,Albert Steinrück,Darsteller,14,133,6,0.426663,0.471886,22498.327859,0.639941,109
17,Mathieu Oostermann,Bauten,14,114,6,0.374554,0.406524,4153.662121,0.217014,50
18,Friedrich Zelnik,Regie/Darsteller,14,112,6,0.395105,0.428307,1775.76779,0.390101,45
19,Julian Ballenstedt,Bauten,14,121,5,0.405689,0.444429,11085.594134,0.412788,75
20,Fanny Carlsen,Drehbuch,14,119,6,0.398319,0.431484,1889.706458,0.400891,47
21,Gerhard Lamprecht,Regie/Drehbuch,13,76,6,0.374936,0.404811,4094.124616,0.193988,34
22,Sophie Pagay,Darsteller,13,116,6,0.408737,0.448627,19036.019372,0.422453,79
23,Carl Hoffmann,Kamera,13,127,6,0.399619,0.444384,11515.739526,0.462376,85
24,Olga Engl,Darsteller,12,110,6,0.436034,0.473814,17592.975155,0.58635,88
25,Hermann Saalfrank,Kamera,12,111,6,0.388214,0.422975,6023.613575,0.345438,57
26,Ilka Grüning,Darsteller,12,112,6,0.418042,0.458316,11870.849506,0.564551,81
27,Paul Davidson,Produzent,12,133,6,0.389759,0.428364,8863.41552,0.383517,66
29,Rudolf Biebrach,Regie/Darsteller,12,100,6,0.373982,0.408067,3567.383658,0.247661,45
30,Colette Corder,Darsteller,12,88,6,0.386884,0.421727,7069.787282,0.32168,57
31,Fred Stranz,Darsteller/Regie,12,58,7,0.319626,0.341486,7924.840485,0.031833,20
32,Evi Eva,Darsteller,11,75,6,0.370025,0.401248,3781.574586,0.164735,41
33,Hans Männling,Kamera,11,99,6,0.38719,0.424166,6008.662657,0.282529,61
34,Fritz Schulz,Darsteller,11,100,6,0.402025,0.439437,6471.637625,0.473177,66
35,Hermann Picha,Darsteller,11,95,5,0.416738,0.457636,12495.498927,0.507694,83
36,Friedrich Berger,Darsteller,11,112,6,0.383952,0.419685,11132.206827,0.232913,56
38,Artur Günther,Bauten,11,89,5,0.400819,0.437894,10731.268862,0.367888,69
39,Eduard von Winterstein,Darsteller,11,97,5,0.400928,0.438133,7036.403546,0.370745,60
40,Fritz Beckmann,Darsteller,11,92,6,0.400054,0.437225,11333.206817,0.330863,67
41,Conrad Veidt,Darsteller,11,128,6,0.394257,0.436816,9303.798291,0.446371,82
42,Karl Huszar-Puffy,Darsteller,11,105,6,0.391733,0.427876,4044.723306,0.428799,57
43,Paul Otto,Darsteller,10,97,6,0.376957,0.410177,5919.113919,0.24815,46
44,Fred Immler,Darsteller,10,87,6,0.392781,0.430406,13337.424239,0.314666,65
45,Paul Rehkopf,Darsteller,10,72,5,0.382751,0.415022,6344.457375,0.231717,47
46,Willy Großstück,Kamera,10,85,6,0.368263,0.403767,6254.022963,0.200296,50
