Id;Label;Contribution;Weight;Weighted Degree;Eccentricity;closnesscentrality;harmonicclosnesscentrality;betweenesscentrality;eigencentrality;Degree
0;Wilhelm Diegelmann;Darsteller;15;129;4;0.466858;0.508691;40652.229776;1;108
1;Robert Scholz;Darsteller;14;120;4;0.441563;0.486781;22345.689969;0.937518;97
2;Margit Barnay;Darsteller;13;116;4;0.451702;0.496348;35074.851631;0.934813;100
3;Hermann Picha;Darsteller;13;119;4;0.442077;0.488826;25707.992617;0.923251;102
4;Jane Bess;Drehbuch;12;89;5;0.388095;0.422802;7538.031257;0.378872;52
5;Friedrich Zelnik;Regie/Darsteller;12;92;4;0.394946;0.428498;3981.854158;0.472134;46
6;Eduard von Winterstein;Darsteller;12;133;4;0.451702;0.496056;29252.114155;0.969536;102
7;Alfred Abel;Darsteller;12;144;5;0.432853;0.482355;21221.071878;0.97597;99
8;Franz Seitz Sr.;Regie/Drehbuch/Darsteller;11;79;5;0.342334;0.366301;4298.703996;0.126329;26
9;Franz Schroedter;Bauten;11;96;4;0.387963;0.426599;8757.815386;0.44188;59
10;Ilka Grüning;Darsteller;11;102;4;0.435662;0.47955;14437.312246;0.956453;86
11;Wolfgang Neff;Regie;10;80;5;0.394537;0.431493;8736.390849;0.436463;55
12;Frida Richard;Darsteller;10;101;4;0.42228;0.468084;15563.846668;0.829949;88
13;Erich Kaiser-Titz;Darsteller;10;86;5;0.417949;0.457596;16503.357716;0.622277;68
14;Kurt Lande;Kamera;10;102;4;0.424479;0.464578;15836.424344;0.743246;71
15;Adolf Otto Weitzenberg;Kamera;10;79;5;0.389154;0.42619;7961.055197;0.373917;51
16;Dora Bergner;Darsteller;9;75;4;0.423534;0.462314;13787.017498;0.609838;69
17;Hans Adalbert Schlettow;Darsteller;9;73;4;0.416728;0.45428;9956.65165;0.595548;58
18;Fritz Lederer;Bauten;9;77;4;0.395357;0.428864;3747.244832;0.470879;46
19;Reinhold Schünzel;Darsteller/Regie/Drehbuch;9;80;4;0.388624;0.421779;4507.940391;0.414953;39
20;Hans Junkermann;Darsteller;9;77;4;0.416423;0.455814;12601.832049;0.651728;65
21;Paul Holzki;Kamera;9;79;4;0.403894;0.439235;4812.126356;0.551455;52
22;Siegfried Wroblewsky;Bauten;9;77;5;0.403608;0.44664;15554.181594;0.523643;67
23;Lili Dominici;Darsteller;9;72;5;0.38942;0.425825;8790.317831;0.346146;48
24;Alfred Columbus;Bauten;8;74;5;0.408961;0.447079;7471.657435;0.571411;57
25;Ludwig Hartau;Darsteller;8;79;4;0.402753;0.44442;13254.540153;0.574576;73
26;Mutz Greenbaum;Kamera;8;80;5;0.404897;0.445837;14957.938102;0.457396;64
27;Friedrich Kühne;Darsteller;8;81;4;0.414608;0.456909;11002.63209;0.70233;71
28;Josef Stein;Regie;8;62;5;0.35;0.380836;3324.840719;0.188445;38
29;Ferdinand von Alten;Darsteller;8;72;4;0.410579;0.44924;6301.027277;0.651072;58
30;Fanny Carlsen;Drehbuch;8;67;5;0.382501;0.41411;2489.767053;0.361982;38
