Id,Label,Contribution,Weight,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,Degree,clustering,triangles
0,Margarete Kupfer,Darsteller,9,85,5,0.435689,0.482653,16230.866839,0.687788,75,0.138018,383
1,Gernot Bock-Stieber,Regie/Drehbuch,9,65,4,0.358878,0.385745,520.525908,0.187524,20,0.526316,100
2,Franz Stein,Kamera,9,81,5,0.394023,0.433256,5025.691243,0.386683,45,0.223232,221
3,Frida Richard,Darsteller,9,108,4,0.446587,0.499514,24672.048026,1,98,0.127288,605
4,Jack Mylong-Münz,Darsteller/Drehbuch,8,61,4,0.35123,0.387592,2801.683884,0.272991,42,0.24971,215
5,Robert Scholz,Darsteller,8,79,4,0.441525,0.481914,20626.75401,0.737897,65,0.172115,358
6,Charles Willy Kayser,Darsteller,8,76,4,0.417845,0.459938,14263.483358,0.56878,62,0.160762,304
7,Albert Steinrück,Darsteller,8,88,4,0.417641,0.459938,7868.199703,0.698131,60,0.216384,383
8,Mutz Greenbaum,Kamera,8,79,4,0.418866,0.459841,8014.280771,0.639005,59,0.191701,328
9,Helena Makowska,Darsteller,8,64,4,0.389723,0.430766,10347.852392,0.348823,53,0.175617,242
10,Willi A. Herrmann,Bauten,7,74,4,0.427005,0.467231,10844.374076,0.54676,59,0.200468,343
11,Willy Reiber,Bauten,7,55,5,0.340485,0.377596,8396.408224,0.211015,42,0.221835,191
12,Olga Engl,Darsteller,7,73,5,0.419071,0.459704,5374.023434,0.678675,55,0.220202,327
13,Karl Machus,Bauten,7,63,4,0.39348,0.432419,8379.304105,0.368216,49,0.193027,227
14,Hans Adalbert Schlettow,Darsteller,7,74,4,0.407513,0.448561,10475.113465,0.579145,55,0.230303,342
15,Magnus Stifter,Darsteller,7,68,4,0.376207,0.411805,4973.511132,0.335659,43,0.212625,192
16,Erich Kaiser-Titz,Darsteller,7,67,4,0.424678,0.464216,9558.748758,0.587604,57,0.169173,270
17,Gustave Preiß,Kamera,7,78,4,0.421337,0.458285,4659.482627,0.631136,51,0.247843,316
18,Eduard von Winterstein,Darsteller,7,55,4,0.411228,0.447394,8127.722546,0.410924,48,0.174645,197
19,Erich Pommer,Produzent,7,110,4,0.400655,0.446422,7893.821108,0.75678,68,0.261633,596
20,Otto Kanturek,Kamera,6,58,4,0.378701,0.415208,6889.294187,0.280583,43,0.213732,193
21,Harry Liedtke,Darsteller,6,67,4,0.406739,0.445644,6467.996414,0.578804,49,0.261054,307
22,Robert Liebmann,Drehbuch,6,59,4,0.423419,0.462855,9319.500756,0.593205,57,0.181078,289
23,Fritz Greiner,Darsteller/Regie,6,48,4,0.385689,0.422112,7638.742544,0.282478,42,0.210221,181
24,Otto Erdmann,Bauten,6,71,4,0.413411,0.452645,3446.036252,0.672148,54,0.255765,366
25,Grete Reinwald,Darsteller,6,45,5,0.380044,0.418475,7166.99913,0.279729,44,0.163848,155
26,Hans Sohnle,Bauten,6,71,4,0.413411,0.452645,3446.036252,0.672148,54,0.255765,366
27,Bruno Kastner,Darsteller,6,58,4,0.405777,0.446033,8406.390563,0.481557,54,0.18798,269
28,Harry Hardt,Darsteller,6,56,4,0.401217,0.439032,8300.728463,0.389683,48,0.197695,223
29,Marius Holdt,Kamera,6,57,5,0.386036,0.423823,7073.536662,0.346661,42,0.222997,192
30,Claire Rommer,Darsteller,6,59,5,0.402347,0.440548,6333.413619,0.396575,45,0.218182,216
31,Alfred Abel,Darsteller,5,54,4,0.417032,0.45245,4729.561413,0.603226,45,0.267677,265
32,Gustav A. Knauer,Bauten,5,45,4,0.375712,0.411221,12563.968739,0.22033,41,0.206098,169
33,Carl de Vogt,Darsteller,5,46,5,0.362215,0.394652,1527.793399,0.291734,29,0.381773,155
34,Hermann Vallentin,Darsteller,5,52,4,0.404818,0.444282,5912.126814,0.538464,50,0.222857,273
35,Willy Schmidt-Gentner,Musik,5,67,5,0.415012,0.459315,8962.482925,0.626741,61,0.220765,404
36,Robert Heymann,Drehbuch,5,43,4,0.367653,0.401206,5003.476678,0.256074,36,0.255556,161
37,Arnold Fanck,Drehbuch/Kamera/Produzent/Regie/Schnitt,5,55,5,0.327599,0.347063,0,0.086746,11,1,55
38,Claire Kronburger,Darsteller,5,28,4,0.333853,0.360366,846.765329,0.128468,21,0.37619,79
39,Hanna Ralph,Darsteller,5,63,4,0.378366,0.417153,4146.516166,0.516259,46,0.301449,312
41,Theodor Loos,Darsteller,5,73,4,0.387783,0.424543,2685.746504,0.522232,41,0.402439,330
43,Ilka Grüning,Darsteller,5,47,5,0.390611,0.427421,3020.913461,0.415133,43,0.229236,207
44,Giuseppe Becce,Musik,5,61,5,0.377367,0.418475,5507.081439,0.468762,52,0.25264,335
45,Ernst Hofmann,Darsteller,5,39,5,0.380382,0.414683,3751.769584,0.272403,36,0.230159,145
46,Robert A. Dietrich,Bauten,5,48,4,0.390967,0.424446,2979.717176,0.376671,36,0.292063,184
47,Georg Muschner,Kamera,5,59,5,0.409069,0.446674,8466.917612,0.415033,47,0.224792,243
