Source,Target,Type,Id,Label,Weight
275,314,Undirected,9161,,3
855,166,Undirected,9162,,1
20,836,Undirected,9163,,1
110,226,Undirected,9164,,1
11,835,Undirected,9165,,1
969,640,Undirected,9166,,1
188,26,Undirected,9167,,1
101,29,Undirected,9168,,2
110,5,Undirected,9169,,1
198,125,Undirected,9170,,1
764,491,Undirected,9171,,1
861,540,Undirected,9172,,1
97,141,Undirected,9173,,1
241,292,Undirected,9174,,1
22,33,Undirected,9175,,1
948,990,Undirected,9176,,1
33,216,Undirected,9177,,1
271,339,Undirected,9178,,2
71,61,Undirected,9179,,1
642,981,Undirected,9180,,1
121,182,Undirected,9181,,1
223,596,Undirected,9182,,1
135,245,Undirected,9183,,1
31,41,Undirected,9184,,3
185,34,Undirected,9185,,1
149,60,Undirected,9186,,1
1063,247,Undirected,9187,,6
140,59,Undirected,9188,,2
3,138,Undirected,9189,,1
7,52,Undirected,9190,,3
11,26,Undirected,9191,,1
238,239,Undirected,9192,,1
293,133,Undirected,9193,,1
267,992,Undirected,9194,,1
21,1081,Undirected,9195,,2
81,17,Undirected,9196,,1
757,308,Undirected,9197,,1
1045,85,Undirected,9198,,1
96,700,Undirected,9199,,1
1061,145,Undirected,9200,,2
217,29,Undirected,9201,,1
184,404,Undirected,9202,,2
43,55,Undirected,9203,,5
70,300,Undirected,9204,,1
482,245,Undirected,9205,,1
145,1071,Undirected,9206,,4
5,150,Undirected,9207,,1
325,109,Undirected,9208,,2
468,652,Undirected,9209,,1
175,615,Undirected,9210,,1
235,363,Undirected,9211,,1
110,637,Undirected,9212,,1
953,924,Undirected,9213,,1
192,8,Undirected,9214,,1
556,1083,Undirected,9215,,4
980,308,Undirected,9216,,1
792,339,Undirected,9217,,1
56,14,Undirected,9218,,1
177,278,Undirected,9219,,1
433,302,Undirected,9220,,2
78,338,Undirected,9221,,1
196,5,Undirected,9222,,2
13,818,Undirected,9223,,1
223,214,Undirected,9224,,1
770,810,Undirected,9225,,1
424,126,Undirected,9226,,2
113,752,Undirected,9227,,1
32,104,Undirected,9228,,1
196,347,Undirected,9229,,1
28,263,Undirected,9230,,2
71,91,Undirected,9231,,1
1028,3,Undirected,9232,,1
54,8,Undirected,9233,,1
1004,750,Undirected,9234,,1
393,39,Undirected,9235,,1
156,188,Undirected,9236,,1
42,1077,Undirected,9237,,2
53,69,Undirected,9238,,2
48,278,Undirected,9239,,1
26,166,Undirected,9240,,1
18,171,Undirected,9241,,1
22,520,Undirected,9242,,1
521,1,Undirected,9243,,1
223,170,Undirected,9244,,1
878,1062,Undirected,9245,,2
71,215,Undirected,9246,,1
212,919,Undirected,9247,,1
83,170,Undirected,9248,,1
457,941,Undirected,9249,,2
307,856,Undirected,9250,,1
1087,68,Undirected,9251,,2
308,1067,Undirected,9252,,3
249,31,Undirected,9253,,1
619,599,Undirected,9254,,1
38,3,Undirected,9255,,2
135,792,Undirected,9256,,1
1089,614,Undirected,9257,,2
54,232,Undirected,9258,,1
164,166,Undirected,9259,,1
167,19,Undirected,9260,,1
160,266,Undirected,9261,,3
110,1059,Undirected,9262,,1
251,2,Undirected,9263,,2
635,532,Undirected,9264,,1
62,35,Undirected,9265,,1
552,31,Undirected,9266,,1
136,238,Undirected,9267,,1
1068,3,Undirected,9268,,1
32,9,Undirected,9269,,1
439,894,Undirected,9270,,1
21,7,Undirected,9271,,4
236,515,Undirected,9272,,1
121,677,Undirected,9273,,1
183,316,Undirected,9274,,1
101,395,Undirected,9275,,1
797,109,Undirected,9276,,1
890,291,Undirected,9277,,1
859,1033,Undirected,9278,,1
470,240,Undirected,9279,,1
799,138,Undirected,9280,,1
253,31,Undirected,9281,,1
256,24,Undirected,9282,,1
750,200,Undirected,9283,,1
232,309,Undirected,9284,,1
1051,157,Undirected,9285,,1
191,330,Undirected,9286,,1
957,127,Undirected,9287,,1
125,209,Undirected,9288,,1
21,35,Undirected,9289,,1
32,37,Undirected,9290,,1
6,151,Undirected,9291,,2
22,164,Undirected,9292,,1
906,950,Undirected,9293,,1
1013,1009,Undirected,9294,,1
1091,63,Undirected,9295,,2
137,443,Undirected,9296,,1
59,28,Undirected,9297,,1
436,281,Undirected,9298,,2
253,43,Undirected,9299,,1
772,107,Undirected,9300,,1
838,123,Undirected,9301,,1
123,46,Undirected,9302,,2
172,592,Undirected,9303,,1
242,0,Undirected,9304,,2
447,129,Undirected,9305,,1
94,1084,Undirected,9306,,2
96,69,Undirected,9307,,1
17,957,Undirected,9308,,1
5,134,Undirected,9309,,1
