Id,Label,Contribution,Weight,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,Degree
0,Willi A. Herrmann,Bauten,18,209,4,0.467503,0.525008,23328.231839,1,147
1,Robert Neppach,Bauten,16,184,5,0.441388,0.491227,9950.618872,0.726985,102
2,Walter Reisch,Drehbuch,15,178,5,0.452888,0.506807,15443.455329,0.87041,117
3,Robert Stolz,Musik,15,172,4,0.460282,0.509827,13126.3101,0.937058,117
4,Franz Schroedter,Bauten,14,179,4,0.475604,0.522851,16890.364514,0.951228,121
5,Willy Schmidt-Gentner,Musik,12,160,4,0.48444,0.529003,19442.279519,0.982412,121
6,Hans Junkermann,Darsteller,10,119,5,0.456455,0.498897,6867.953156,0.815494,87
7,Herbert Lippschitz,Bauten,10,103,4,0.443264,0.486018,8942.859194,0.645727,86
8,Mutz Greenbaum,Kamera,10,142,5,0.457456,0.506967,12495.818617,0.786241,109
9,Walter Wassermann,Drehbuch,10,122,4,0.469186,0.510147,11152.744489,0.881921,97
10,Fritz Kampers,Darsteller,10,114,4,0.464795,0.507351,10758.415721,0.822631,98
11,Olga Tschechowa,Darsteller,9,116,4,0.460079,0.503755,10425.84238,0.816027,99
12,Willy Goldberger,Kamera,9,110,4,0.447639,0.488255,5183.842524,0.760012,82
13,Friedl Behn-Grund,Kamera,9,110,4,0.46982,0.50767,5221.756569,0.875069,87
14,Friedrich Hollaender,Musik,9,132,4,0.465625,0.510866,14365.239977,0.862193,107
15,Hans H. Zerlett,Drehbuch,9,125,4,0.472587,0.517817,13790.811686,0.959955,113
16,Franz Planer,Kamera,9,127,4,0.463144,0.505833,9856.361896,0.832325,98
17,Richard Eichberg,Regie/Produzent,9,128,5,0.374238,0.41069,887.132917,0.23573,43
18,Erich Pommer,Produzent,9,125,5,0.421926,0.462704,2314.173988,0.565928,67
19,Franz Schulz,Drehbuch,9,117,5,0.425714,0.47357,4784.402309,0.671198,83
20,Otto Stransky,Musik,9,133,5,0.464174,0.5128,12249.748453,0.957903,111
21,Hans May,Musik,9,127,4,0.445917,0.490332,14315.909837,0.64526,91
22,Max Heilbronner,Bauten,9,115,3,0.460079,0.501758,18000.933924,0.740145,96
23,Robert Liebmann,Drehbuch,8,112,5,0.414218,0.456072,3287.736685,0.526611,69
24,Lucie Englisch,Darsteller,8,88,4,0.455061,0.491611,3762.35883,0.75871,73
25,Walter Schlee,Drehbuch,8,104,4,0.453281,0.49225,4112.067063,0.776384,80
26,Hanns Beck-Gaden,Darsteller/Regie/Drehbuch,8,42,6,0.206371,219,20,0.008078,15
27,Igo Sym,Darsteller,7,85,4,0.459877,0.498162,8345.42332,0.773233,81
28,Robert Herlth,Bauten,7,88,5,0.4167,0.454874,1615.826612,0.468648,55
29,Wolfgang Zilzer,Darsteller,7,89,4,0.437684,0.479866,12456.744259,0.494962,81
30,Lilian Harvey,Darsteller,7,94,5,0.415538,0.453675,1522.719443,0.506877,57
31,Julius Urgiß,Drehbuch,7,93,4,0.426236,0.465724,2957.430275,0.577011,67
32,Julius Falkenstein,Darsteller,7,91,5,0.458462,0.499696,8340.219206,0.826833,84
33,Seymour Nebenzahl,Produzent,7,92,4,0.42781,0.467482,3847.650547,0.548238,68
34,Paul Hörbiger,Darsteller/Drehbuch,7,85,5,0.434764,0.476766,3823.445133,0.657638,74
35,Curt J. Braun,Drehbuch,7,95,4,0.460486,0.498802,8246.721167,0.669395,82
36,Jacek Rotmil,Bauten,7,109,4,0.464795,0.504235,7381.299874,0.780711,89
37,Frederik Fuglsang,Kamera,7,57,5,0.417701,0.452876,3583.469579,0.329326,48
39,Friedrich Raff,Drehbuch,7,93,4,0.426236,0.465724,2957.430275,0.577011,67
40,Fritz Arno Wagner,Kamera,7,99,5,0.437867,0.481959,16721.294153,0.549342,82
41,Carl Hoffmann,Kamera,7,87,5,0.422781,0.461266,2291.214119,0.486939,56
43,Artur Guttmann,Musik,7,84,4,0.428689,0.46876,7934.17807,0.49883,72
45,Liddy Hegewald,Produzent,7,101,4,0.453873,0.494487,7650.178191,0.71401,85
46,Walter Röhrig,Bauten,7,88,5,0.4167,0.454874,1615.826612,0.468648,55
47,Karl Platen,Darsteller,6,79,4,0.427459,0.467881,5895.977195,0.481542,69
48,Curt Courant,Kamera,6,88,5,0.418539,0.464621,7045.343185,0.495563,78
49,Siegfried Arno,Darsteller,6,86,4,0.440642,0.477389,9597.832041,0.65354,69
50,Eduard von Winterstein,Darsteller,6,80,4,0.423467,0.460051,4328.677536,0.461184,59
51,Emil Hasler,Bauten,6,90,5,0.421926,0.460706,3111.877652,0.535299,61
52,Bruno Mondi,Kamera,6,88,5,0.39688,0.436657,2677.604969,0.335269,56
53,Gustav A. Knauer,Bauten,6,64,4,0.399923,0.436961,3890.959648,0.297189,55
54,Renate Müller,Darsteller,6,78,4,0.435309,0.471876,4164.921861,0.5046,63
55,Ernö Verebes,Darsteller,6,81,5,0.439528,0.478683,2730.02286,0.676589,67
56,Guido Seeber,Kamera,6,64,5,0.419887,0.45767,5417.57426,0.462542,53
57,Reimar Kuntze,Kamera,6,80,5,0.411278,0.44968,1840.045219,0.404721,54
