Id;Label;Contribution;Weight;Weighted Degree;Eccentricity;closnesscentrality;harmonicclosnesscentrality;betweenesscentrality;eigencentrality;Degree;clustering;triangles;;
0;Adele Sandrock;Darsteller;13;162;3;0.498847;0.546243;12246.508483;1;122;0.16136;1191;;
1;Erich Czerwonski;Bauten;12;150;4;0.469598;0.517437;4866.262756;0.801936;98;0.195876;931;;
2;Willy Winterstein;Kamera;11;139;4;0.465304;0.513873;6050.822915;0.76921;98;0.188092;894;;
3;Theo Lingen;Darsteller;11;149;4;0.492036;0.539499;9870.138076;0.953203;114;0.179165;1154;;
4;Jakob Tiedtke;Darsteller;11;142;4;0.486775;0.537669;9862.988446;0.99822;118;0.173113;1195;;
5;Paul Hörbiger;Darsteller;10;139;4;0.476322;0.525241;8047.157456;0.881102;106;0.185804;1034;;
6;Robert A. Stemmle;Drehbuch/Regie;10;114;4;0.434673;0.471965;2203.051502;0.375375;54;0.27044;387;;
7;Fritz Odemar;Darsteller;9;121;4;0.476322;0.520617;5484.038349;0.842207;94;0.206131;901;;
8;Ralph Arthur Roberts;Darsteller/Drehbuch/Regie;9;113;4;0.459373;0.502987;5400.32517;0.587473;81;0.192593;624;;
9;Franz Grothe;Musik;9;118;4;0.462814;0.509634;7353.620013;0.699177;91;0.194872;798;;
10;Emil Hasler;Bauten;9;111;3;0.448651;0.493449;10630.493297;0.428532;82;0.18097;601;;
11;Robert A. Dietrich;Bauten;9;135;4;0.440204;0.489499;5820.968463;0.541023;84;0.2358;822;;
12;Will Meisel;Musik;9;130;4;0.469089;0.523218;8571.806365;0.849884;112;0.175354;1090;;
13;Jessie Vihrog;Darsteller;8;105;4;0.46331;0.510212;8313.951382;0.621479;89;0.183606;719;;
14;Franz Doelle;Musik;8;99;3;0.470109;0.511175;7154.503746;0.653926;84;0.194779;679;;
15;Ella Ensink;Schnitt;8;120;4;0.440428;0.485164;3738.925278;0.515366;76;0.243509;694;;
16;Franz Schroedter;Bauten;8;96;4;0.438419;0.481792;10270.362581;0.359973;71;0.19839;493;;
17;Robert Herlth;Bauten;8;110;4;0.435768;0.47842;4036.597334;0.41883;68;0.256804;585;;
18;Paul Henckels;Darsteller;8;101;4;0.477373;0.52052;7223.491443;0.724451;91;0.186081;762;;
19;Arnold Pressburger;Produzent;8;120;4;0.453117;0.497688;6948.996398;0.532184;81;0.227778;738;;
20;Friedl Behn-Grund;Kamera;8;109;4;0.448419;0.49422;6813.436216;0.598835;82;0.218007;724;;
21;Carl Boese;Regie;8;98;4;0.437089;0.477938;2306.56662;0.486703;63;0.267281;522;;
