Id;Label;Contribution;Weight;Weighted Degree;Eccentricity;closnesscentrality;harmonicclosnesscentrality;betweenesscentrality;eigencentrality;Degree;;
0;Alfred Bütow;Bauten;8;119;3;0.461755;0.50812;7694.303338;0.982821;88;;
1;Fritz Maurischat;Bauten;8;112;3;0.454344;0.500609;8454.479736;0.902362;84;;
2;Max Seefelder;Bauten;8;101;3;0.4374;0.479903;4312.886358;0.67888;68;;
3;Willi A. Herrmann;Bauten;8;119;3;0.461755;0.50812;7694.303338;0.982821;88;;
4;Rudolf Platte;Darsteller;7;88;3;0.468073;0.505684;7257.912772;0.804879;70;;
5;Georg Krause;Kamera;7;83;4;0.436702;0.476756;4414.985466;0.639494;60;;
6;Richard Eichberg;Produzent/Regie/Drehbuch;7;106;4;0.392447;0.424076;517.993404;0.445327;35;;
7;Josef Franz Strobl;Bauten;7;88;3;0.427604;0.468737;3419.254052;0.636511;62;;
8;Franz Koch;Kamera;7;88;3;0.428497;0.468737;3470.695636;0.612228;60;;
9;Ewald Daub;Kamera;7;103;3;0.46834;0.512383;10365.47552;1;86;;
10;Karl Weber;Bauten;6;84;3;0.437633;0.4797;3328.90173;0.790975;67;;
11;Konstantin Tschet;Kamera;6;78;4;0.407849;0.450162;3585.064229;0.520716;58;;
12;Paul Henckels;Darsteller;6;56;4;0.440214;0.477162;3926.400309;0.58446;52;;
13;Heinrich Richter;Bauten;6;65;4;0.442111;0.477771;3324.769692;0.538324;51;;
14;Walter Steinbeck;Darsteller;6;62;4;0.429393;0.469651;4993.867525;0.52884;58;;
15;Fritz Kampers;Darsteller;6;79;3;0.463842;0.503654;7570.700286;0.892411;73;;
16;Karl Puth;Kamera;6;77;4;0.463318;0.500609;5694.783648;0.729313;65;;
17;Gustav Fröhlich;Darsteller;6;77;3;0.465683;0.503857;5922.947473;0.854081;70;;
18;Walter Gronostay;Musik/Drehbuch;6;73;4;0.414019;0.453106;2970.50077;0.460801;49;;
19;Werner Bohne;Kamera;6;86;3;0.454596;0.49594;8229.09538;0.723012;72;;
21;Robert A. Stemmle;Drehbuch/Regie;6;74;4;0.409681;0.443768;2414.532636;0.429298;41;;
22;Grethe Weiser;Darsteller;6;69;4;0.440214;0.481019;3841.838762;0.849666;63;;
23;Fita Benkhoff;Darsteller;6;74;4;0.442349;0.480715;3436.482135;0.723056;58;;
24;Hans Leibelt;Darsteller;6;81;3;0.440451;0.484166;5705.181857;0.834836;72;;
25;Emil Hasler;Bauten;6;75;4;0.445711;0.486094;5231.009388;0.713657;64;;
26;Leo Leux;Musik;6;79;4;0.43647;0.475842;3384.406367;0.702714;58;;
27;Otto Hunte;Bauten;5;60;3;0.422325;0.458587;3113.792575;0.532584;49;;
28;Georg Alexander;Darsteller;5;55;4;0.429393;0.467418;3273.302223;0.610316;53;;
29;Theodor Loos;Darsteller;5;65;3;0.450851;0.488023;6284.212198;0.593547;60;;
30;Gerhard Dammann;Darsteller;5;35;4;0.399903;0.430877;1383.760822;0.313273;32;;
31;Franz Weihmayr;Kamera;5;67;3;0.431424;0.46894;4117.516697;0.531609;54;;
32;Reinhold Schünzel;Regie/Drehbuch;5;56;3;0.397964;0.426309;1085.536138;0.290229;29;;
33;Theo Lingen;Darsteller;5;70;3;0.459429;0.497767;6096.328195;0.878123;67;;
34;Franz Seitz Sr.;Regie/Drehbuch;5;64;4;0.389469;0.420625;741.869891;0.360211;36;;
35;Peter Kreuder Jr.;Musik;5;69;3;0.431424;0.470564;4346.673483;0.639224;58;;
36;Friedl Behn-Grund;Kamera;5;67;3;0.436238;0.474015;3647.416743;0.657172;56;;
37;Franz Grothe;Musik;5;66;4;0.411117;0.449959;4632.570535;0.461248;50;;
38;Franz Doelle;Musik;5;64;4;0.424289;0.46214;2622.658999;0.576995;52;;
39;Heinz Salfner;Darsteller;5;67;4;0.445469;0.484267;3995.367246;0.742176;61;;
40;Hanns H. Kuhnert;Bauten;5;68;4;0.418024;0.45676;3729.48285;0.473563;53;;
41;Ida Wüst;Darsteller;5;54;3;0.452342;0.486399;3305.345427;0.712616;53;;
42;Will Meisel;Musik;5;66;4;0.42407;0.463764;2445.628423;0.668515;56;;
43;Alois Melichar;Musik;5;65;3;0.444505;0.482745;5043.544537;0.668605;60;;
44;Harald Paulsen;Darsteller;5;65;4;0.430068;0.471478;6392.202015;0.601327;60;;
45;Werner Bochmann;Musik;5;62;3;0.439272;0.476248;5750.438864;0.56039;55;;
46;Hans-Otto Borgmann;Musik;5;73;3;0.444505;0.483557;4967.730949;0.723737;62;;
48;Karl Machus;Bauten;5;65;4;0.41009;0.446102;1163.559085;0.502937;44;;
49;Carl Otto Bartning;Schnitt;5;67;4;0.416963;0.453715;2869.202118;0.516826;47;;
50;Maria Andergast;Darsteller;5;60;4;0.441635;0.478989;3855.438871;0.745991;55;;
51;Oskar Sima;Darsteller;5;62;3;0.443065;0.480309;4833.140839;0.643063;57;;
52;Carl Drews;Kamera;5;65;4;0.432105;0.470666;4118.98793;0.635495;55;;
53;Max Gülstorff;Darsteller;4;52;4;0.423196;0.459602;3200.132343;0.529332;48;;
54;Erich Zander;Bauten;4;57;3;0.440214;0.47503;2644.447571;0.636548;50;;
56;Ludwig Reiber;Bauten;4;51;4;0.404035;0.440824;3020.647012;0.423817;46;;
57;Renée Saint-Cyr;Darsteller;4;47;4;0.395282;0.431486;4214.12147;0.367075;44;;
58;Fritz Domina;Musik;4;55;4;0.413394;0.449147;1164.810999;0.574214;45;;
59;Carl Ludwig Kirmse;Bauten;4;50;4;0.391325;0.426614;2632.900058;0.310441;42;;
61;Marta Eggerth;Darsteller;4;56;4;0.406235;0.441738;2692.243312;0.406957;45;;
63;Clemens Schmalstich;Musik;4;53;4;0.418664;0.454222;1886.595175;0.530314;45;;
65;Lucie Englisch;Darsteller;4;56;3;0.401663;0.436663;2188.115751;0.449996;45;;
66;Otto Gülstorff;Bauten;4;52;4;0.416118;0.454425;1793.493449;0.55624;48;;
67;Ella Ensink;Schnitt;4;57;4;0.428721;0.464271;1609.96486;0.640408;45;;
69;Ernst Legal;Darsteller;4;51;4;0.439507;0.473609;2721.440707;0.543984;46;;
70;Lena Neumann;Schnitt;4;57;4;0.416751;0.453816;2493.542098;0.491059;49;;
71;Paul Kemp;Darsteller;4;51;4;0.420594;0.455542;1577.267779;0.551155;44;;
72;Rudo Ritter;Drehbuch;4;52;4;0.401663;0.438388;2315.777749;0.407324;45;;
73;Karl Hasselmann;Kamera;4;38;4;0.402254;0.435039;1020.172442;0.335755;33;;
74;Edgar S. Ziesemer;Kamera;4;53;4;0.41009;0.445696;1436.677525;0.513196;42;;
75;Michael Jary;Musik;4;49;4;0.41654;0.451786;2316.379936;0.496815;44;;
77;Karin Hardt;Darsteller;4;55;4;0.427827;0.465591;3270.889122;0.536672;52;;
78;Kurt Vespermann;Darsteller;4;54;4;0.411323;0.447929;1739.076384;0.64585;47;;
79;Ralph Arthur Roberts;Darsteller;4;44;4;0.397386;0.431486;2278.182547;0.419575;37;;
80;Reimar Kuntze;Kamera;4;55;3;0.397386;0.42976;1372.944622;0.370505;39;;
81;Fritz Peter Buch;Drehbuch/Regie;4;54;4;0.389839;0.417885;610.062691;0.324334;27;;
82;Adele Sandrock;Darsteller;4;52;4;0.425389;0.46082;1969.765891;0.59624;46;;
83;Marianne Behr;Schnitt;4;51;4;0.417387;0.453004;2406.045299;0.48356;43;;
85;Herbert Körner;Kamera;4;57;3;0.410705;0.444986;1073.273355;0.498242;43;;
86;Hans Zesch-Ballot;Darsteller;4;57;4;0.420594;0.459196;3636.913876;0.538007;53;;
87;Viktor Staal;Darsteller;4;55;4;0.411323;0.447016;1654.818715;0.49501;45;;
88;Hans Söhnker;Darsteller;4;56;4;0.418451;0.454832;2399.962062;0.522097;45;;
89;Willi Depenau;Bauten;4;59;4;0.411735;0.445798;1258.643932;0.47794;41;;
90;Alexander Mügge;Bauten;4;53;4;0.412563;0.449655;1712.063783;0.537452;47;;
91;Herbert Selpin;Drehbuch/Regie;4;48;4;0.372167;0.397889;141.843425;0.206944;20;;
92;Ursula Grabley;Darsteller;4;55;4;0.423196;0.46082;3470.153913;0.58216;51;;
93;Bruno Mondi;Kamera;4;55;4;0.423851;0.459298;2185.48391;0.535838;45;;
94;Gustav Waldau;Darsteller;4;53;4;0.419091;0.455745;2699.050427;0.5825;48;;
95;Arnold Fanck;Drehbuch/Produzent/Regie/Schnitt;4;56;1;1;1;0;0.020249;14;;
96;Hans Richter;Darsteller;4;37;4;0.405833;0.438591;1851.4601;0.374337;35;;
97;Theo Mackeben;Musik;4;49;4;0.419091;0.455542;3317.219206;0.441803;48;;
98;Willy Winterstein;Kamera;4;53;4;0.407646;0.444377;4936.47356;0.434708;47;;
99;Hilde Sessak;Darsteller;4;50;4;0.430971;0.466606;2024.296139;0.631975;47;;
100;Georg Bruckbauer;Kamera;4;52;4;0.40704;0.444275;2419.217322;0.406775;47;;
101;Adolf Wohlbrück;Darsteller;4;70;3;0.424289;0.462038;2926.553255;0.604809;53;;
102;Bruno Lutz;Bauten;4;58;3;0.41952;0.457978;3015.514431;0.580835;54;;
103;Hans Junkermann;Darsteller;4;39;4;0.405432;0.437779;1090.182497;0.436236;34;;
104;Gustav A. Knauer;Bauten;4;53;4;0.412563;0.449655;1712.063783;0.537452;47;;
105;Genia Nikolajewa;Darsteller;4;53;3;0.425168;0.460414;3090.475722;0.504903;47;;
106;Hilde von Stolz;Darsteller;4;45;4;0.420164;0.456659;4155.166892;0.400575;45;;
107;Wolf Neumeister;Drehbuch;4;54;3;0.442349;0.477263;2896.322324;0.694031;51;;
109;Arthur Pohl;Drehbuch;4;57;3;0.413186;0.447016;1014.820077;0.512722;42;;
110;Gottlieb Madl;Schnitt;4;48;4;0.40186;0.434125;1086.904513;0.381148;35;;
111;Stéphane Pizella;Darsteller;4;42;4;0.370487;0.404385;4174.179665;0.251327;37;;
113;Gustl Stark-Gstettenbaur;Darsteller;3;33;4;0.366191;0.394133;807.659509;0.204303;28;;
114;Harald Röbbeling;Drehbuch;3;37;4;0.399903;0.429862;611.233446;0.379933;29;;
115;Heinz Paul;Regie;3;20;4;0.369653;0.395047;674.748066;0.150572;18;;
116;Kurt Schröder;Musik;3;40;4;0.403638;0.436257;1449.740667;0.335111;35;;
117;Gustav Lohse;Schnitt;3;42;4;0.378341;0.408039;845.19826;0.294688;32;;
118;Harald Böhmelt;Musik;3;39;4;0.388363;0.420219;868.71155;0.359941;33;;
119;Harald Madsen;Darsteller;3;28;4;0.386353;0.412607;101.329803;0.240907;20;;
120;Kurt Heuser;Drehbuch;3;43;4;0.406637;0.441433;2210.741992;0.382996;41;;
121;Ernst Dumcke;Darsteller;3;38;4;0.406637;0.440012;1351.476597;0.42333;37;;
122;Hansi Knoteck;Darsteller;3;41;4;0.397386;0.429557;1074.372094;0.385552;35;;
123;Käte Haack;Darsteller;3;39;4;0.402648;0.437576;1491.388874;0.446073;39;;
124;Ernst Marischka;Drehbuch/Musik;3;38;4;0.380269;0.408749;3613.81698;0.257098;29;;
125;Gustav Althoff;Produzent;3;41;4;0.399708;0.431892;410.559705;0.445893;33;;
126;Hans Stüwe;Darsteller;3;40;4;0.41381;0.447016;1542.293874;0.4481;39;;
127;Lil Dagover;Darsteller;3;38;3;0.402254;0.4324;1153.855444;0.303046;33;;
128;Lola Chlud;Darsteller;3;44;4;0.416329;0.449858;2553.70113;0.443945;40;;
