Id,Label,Contribution,Weight,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,Degree,Column,Column2
0,Rudolf Platte,Darsteller,7,77,4,0.465291,0.508513,7948.499019,0.814806,72,,
1,Artur Günther,Bauten,7,96,4,0.440237,0.495408,5846.499341,0.888683,83,,
2,Georg Alexander,Darsteller,7,79,4,0.446043,0.494064,4681.011687,0.83415,69,,
3,Günther Anders,Kamera,6,83,4,0.446311,0.490591,3853.156845,0.819831,65,,
4,Alexander Mügge,Bauten,6,78,4,0.452005,0.496416,3307.442276,0.820807,65,,
5,Robert A. Dietrich,Bauten,6,87,4,0.431304,0.484543,5662.687693,0.807033,74,,
6,Bobby E. Lüthge,Drehbuch,6,75,4,0.433062,0.481295,5383.408214,0.829794,65,,
7,Friedl Behn-Grund,Kamera,6,86,4,0.46413,0.50728,6015.941712,0.86962,72,,
8,Hilde Körber,Darsteller,6,82,4,0.448733,0.494848,4646.835348,0.829431,70,,
9,Herbert Körner,Kamera,6,84,3,0.465291,0.509633,7717.636029,0.915335,77,,
10,Otto Wernicke,Darsteller,6,72,4,0.447115,0.492944,4603.663788,0.882058,68,,
11,Hansi Knoteck,Darsteller,6,81,4,0.435342,0.481183,4584.401816,0.738582,65,,
12,Ella Ensink,Schnitt,6,79,4,0.433819,0.476591,2481.327628,0.658219,56,,
13,Leo Leux,Musik,6,82,4,0.468809,0.510865,5576.238283,1,72,,
14,Gustav A. Knauer,Bauten,6,78,4,0.452005,0.496416,3307.442276,0.820807,65,,
15,Oskar Sima,Darsteller,6,81,4,0.454768,0.498992,4956.469965,0.838815,69,,
16,Heli Finkenzeller,Darsteller,5,65,4,0.436876,0.478831,4115.182042,0.656587,56,,
17,Robert Dorsay,Darsteller,5,56,4,0.413333,0.458221,2957.986558,0.549884,50,,
18,Grethe Weiser,Darsteller,5,68,4,0.443121,0.487231,4106.381563,0.779638,61,,
19,Karl Machus,Bauten,5,63,4,0.431805,0.469646,1885.247677,0.596046,48,,
20,Carl Boese,Regie,5,63,4,0.432307,0.47267,4249.089021,0.614778,53,,
21,Fritz Odemar,Darsteller,5,63,4,0.442857,0.485775,5367.230329,0.681589,60,,
22,Karl Böhm,Bauten,5,65,4,0.413333,0.456989,3541.877457,0.541486,52,,
23,Hermann Asmus,Bauten,5,68,4,0.445776,0.487455,5026.438134,0.752641,60,,
24,K. J. Fritzsche,Produzent,5,69,4,0.426117,0.469086,2376.008554,0.703468,56,,
25,Bruno Mondi,Kamera,5,69,4,0.436108,0.482639,5022.840607,0.643659,64,,
26,Fritz C. Mauch,Schnitt,5,70,4,0.431805,0.477823,4439.516709,0.677113,62,,
27,Hans Deppe,Regie,5,70,4,0.42685,0.468862,2393.230612,0.652496,52,,
28,Ida Wüst,Darsteller,5,52,4,0.434579,0.472446,2682.262019,0.60675,48,,
29,Iván Petrovich,Darsteller,5,62,4,0.429561,0.472334,3214.273436,0.686839,56,,
31,Paul Westermeier,Darsteller,5,56,4,0.431304,0.472222,3827.937542,0.588951,51,,
32,Mady Rahl,Darsteller,5,63,4,0.437133,0.481743,3373.711683,0.792497,60,,
33,Georg Jacoby,Regie,5,63,4,0.446311,0.489919,3812.66047,0.824909,61,,
34,Heinrich George,Darsteller,5,67,4,0.443121,0.487119,5113.196106,0.727906,63,,
35,Ralph Arthur Roberts,Darsteller,5,44,4,0.417978,0.453629,1769.921235,0.44775,38,,
36,Erich Czerwonski,Bauten,5,65,4,0.413333,0.456989,3541.877457,0.541486,52,,
37,Otto Moldenhauer,Bauten,5,63,3,0.436108,0.476254,3181.110371,0.680765,56,,
38,Kurt Meisel,Darsteller,5,58,4,0.428818,0.46987,3681.909092,0.601987,51,,
39,Kurt Dürnhöfer,Bauten,5,68,4,0.429066,0.473006,2683.040929,0.676331,55,,
40,Harald Paulsen,Darsteller,5,64,4,0.433314,0.478831,4196.660301,0.629321,61,,
41,Werner Bohne,Kamera,5,68,4,0.451456,0.49552,5559.652065,0.784993,64,,
42,Georg Krause,Kamera,5,62,4,0.432307,0.472558,2659.403795,0.68385,50,,
43,Giuseppe Becce,Musik,5,72,4,0.40545,0.452285,8185.301372,0.442448,61,,
